"BARRIO","DISTRITO","NACION","HOMBRES","MUJERES","TOTAL"
"CAMPOS DE SORIA","MACARENA","EXTRANJEROS",12,8,20
"CAMPOS DE SORIA","MACARENA","TOTAL POBLACION",44,36,80
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","ESPAÑOLES",14,12,26
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","EXTRANJEROS",2,0,2
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","TOTAL POBLACION",16,12,28
"CIUDAD JARDIN","NERVION","ESPAÑOLES",31,27,58
"CIUDAD JARDIN","NERVION","EXTRANJEROS",3,12,15
"CIUDAD JARDIN","NERVION","TOTAL POBLACION",34,39,73
"COLORES, ENTREPARQUES","ESTE","ESPAÑOLES",406,400,806
"COLORES, ENTREPARQUES","ESTE","EXTRANJEROS",36,38,74
"COLORES, ENTREPARQUES","ESTE","TOTAL POBLACION",442,438,880
"CONSOLACION","NORTE","ESPAÑOLES",59,57,116
"CONSOLACION","NORTE","EXTRANJEROS",2,8,10
"CONSOLACION","NORTE","TOTAL POBLACION",61,65,126
"CRUZ ROJA-CAPUCHINOS","MACARENA","ESPAÑOLES",46,62,108
"CRUZ ROJA-CAPUCHINOS","MACARENA","EXTRANJEROS",6,13,19
"CRUZ ROJA-CAPUCHINOS","MACARENA","NO CONSTA",1,0,1
"CRUZ ROJA-CAPUCHINOS","MACARENA","TOTAL POBLACION",53,75,128
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","ESPAÑOLES",68,54,122
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","EXTRANJEROS",7,9,16
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","TOTAL POBLACION",75,63,138
"EL CARMEN","MACARENA","ESPAÑOLES",15,12,27
"EL CARMEN","MACARENA","EXTRANJEROS",0,1,1
"EL CARMEN","MACARENA","TOTAL POBLACION",15,13,28
"EL CEREZO","MACARENA","ESPAÑOLES",26,39,65
"EL CEREZO","MACARENA","EXTRANJEROS",18,33,51
"EL CEREZO","MACARENA","TOTAL POBLACION",44,72,116
"EL CERRO","CERRO-AMATE","ESPAÑOLES",116,134,250
"EL CERRO","CERRO-AMATE","EXTRANJEROS",26,23,49
"EL CERRO","CERRO-AMATE","TOTAL POBLACION",142,157,299
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","ESPAÑOLES",56,40,96
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","EXTRANJEROS",4,4,8
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","TOTAL POBLACION",60,44,104
"EL GORDILLO","NORTE","ESPAÑOLES",11,11,22
"EL GORDILLO","NORTE","TOTAL POBLACION",11,11,22
"EL JUNCAL-HISPALIS","SUR","ESPAÑOLES",55,58,113
"EL JUNCAL-HISPALIS","SUR","EXTRANJEROS",9,15,24
"EL JUNCAL-HISPALIS","SUR","NO CONSTA",0,1,1
"EL JUNCAL-HISPALIS","SUR","TOTAL POBLACION",64,74,138
"EL PLANTINAR","SUR","ESPAÑOLES",52,54,106
"EL PLANTINAR","SUR","EXTRANJEROS",5,4,9
"EL PLANTINAR","SUR","TOTAL POBLACION",57,58,115
"EL PORVENIR","SUR","ESPAÑOLES",64,65,129
"EL PORVENIR","SUR","EXTRANJEROS",2,10,12
"EL PORVENIR","SUR","TOTAL POBLACION",66,75,141
"EL PRADO-PARQUE MARIA LUISA","SUR","ESPAÑOLES",17,13,30
"EL PRADO-PARQUE MARIA LUISA","SUR","TOTAL POBLACION",17,13,30
"EL ROCIO","MACARENA","ESPAÑOLES",25,17,42
"EL ROCIO","MACARENA","EXTRANJEROS",19,26,45
"EL ROCIO","MACARENA","TOTAL POBLACION",44,43,87
"EL TARDON-EL CARMEN","TRIANA","ESPAÑOLES",85,94,179
"EL TARDON-EL CARMEN","TRIANA","EXTRANJEROS",7,9,16
"EL TARDON-EL CARMEN","TRIANA","TOTAL POBLACION",92,103,195
"EL TORREJON","MACARENA","ESPAÑOLES",8,15,23
"EL TORREJON","MACARENA","EXTRANJEROS",5,6,11
"EL TORREJON","MACARENA","TOTAL POBLACION",13,21,34
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","ESPAÑOLES",145,143,288
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","EXTRANJEROS",9,14,23
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","TOTAL POBLACION",154,157,311
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","ESPAÑOLES",38,54,92
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","EXTRANJEROS",8,13,21
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","TOTAL POBLACION",46,67,113
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","ESPAÑOLES",29,24,53
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","EXTRANJEROS",5,8,13
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","TOTAL POBLACION",34,32,66
"FERIA","CASCO ANTIGUO","ESPAÑOLES",100,91,191
"FERIA","CASCO ANTIGUO","EXTRANJEROS",12,22,34
"FERIA","CASCO ANTIGUO","TOTAL POBLACION",112,113,225
"GIRALDA SUR","SUR","ESPAÑOLES",35,34,69
"GIRALDA SUR","SUR","EXTRANJEROS",1,2,3
"GIRALDA SUR","SUR","TOTAL POBLACION",36,36,72
"HELIOPOLIS","BELLAVISTA-LA PALMERA","ESPAÑOLES",27,31,58
"HELIOPOLIS","BELLAVISTA-LA PALMERA","TOTAL POBLACION",27,31,58
"HERMANDADES-LA CARRASCA","MACARENA","ESPAÑOLES",64,77,141
"HERMANDADES-LA CARRASCA","MACARENA","EXTRANJEROS",29,30,59
"HERMANDADES-LA CARRASCA","MACARENA","TOTAL POBLACION",93,107,200
"HUERTA DE LA SALUD","SUR","ESPAÑOLES",73,47,120
"HUERTA DE LA SALUD","SUR","EXTRANJEROS",1,4,5
"HUERTA DE LA SALUD","SUR","TOTAL POBLACION",74,51,125
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","ESPAÑOLES",51,75,126
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","EXTRANJEROS",4,13,17
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","TOTAL POBLACION",55,88,143
"HUERTA DEL PILAR","NERVION","ESPAÑOLES",73,82,155
"HUERTA DEL PILAR","NERVION","EXTRANJEROS",7,9,16
"HUERTA DEL PILAR","NERVION","TOTAL POBLACION",80,91,171
"JUAN XXIII","CERRO-AMATE","ESPAÑOLES",74,57,131
"JUAN XXIII","CERRO-AMATE","EXTRANJEROS",5,12,17
"JUAN XXIII","CERRO-AMATE","TOTAL POBLACION",79,69,148
"LA BACHILLERA","NORTE","ESPAÑOLES",11,19,30
"LA BACHILLERA","NORTE","EXTRANJEROS",3,4,7
"LA BACHILLERA","NORTE","TOTAL POBLACION",14,23,37
"LA BARZOLA","MACARENA","ESPAÑOLES",13,23,36
"LA BARZOLA","MACARENA","EXTRANJEROS",0,4,4
"LA BARZOLA","MACARENA","TOTAL POBLACION",13,27,40
"LA BUHAIRA","NERVION","ESPAÑOLES",126,119,245
"LA BUHAIRA","NERVION","EXTRANJEROS",9,16,25
"LA BUHAIRA","NERVION","TOTAL POBLACION",135,135,270
"LA CALZADA","NERVION","ESPAÑOLES",44,46,90
"LA CALZADA","NERVION","EXTRANJEROS",4,1,5
"LA CALZADA","NERVION","TOTAL POBLACION",48,47,95
"LA CORZA","S. PABLO-STA. JUSTA","ESPAÑOLES",8,5,13
"LA CORZA","S. PABLO-STA. JUSTA","EXTRANJEROS",1,1,2
"LA CORZA","S. PABLO-STA. JUSTA","TOTAL POBLACION",9,6,15
"LA FLORIDA","NERVION","ESPAÑOLES",14,28,42
"LA FLORIDA","NERVION","EXTRANJEROS",1,4,5
"LA FLORIDA","NERVION","TOTAL POBLACION",15,32,47
"LA OLIVA","SUR","ESPAÑOLES",53,63,116
"LA OLIVA","SUR","EXTRANJEROS",21,17,38
"LA OLIVA","SUR","TOTAL POBLACION",74,80,154
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","ESPAÑOLES",20,24,44
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","EXTRANJEROS",18,21,39
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","TOTAL POBLACION",38,45,83
"LA PAZ-LAS GOLONDRINAS","MACARENA","ESPAÑOLES",29,29,58
"LA PAZ-LAS GOLONDRINAS","MACARENA","EXTRANJEROS",12,6,18
"LA PAZ-LAS GOLONDRINAS","MACARENA","TOTAL POBLACION",41,35,76
"LA PLATA","CERRO-AMATE","ESPAÑOLES",105,99,204
"LA PLATA","CERRO-AMATE","EXTRANJEROS",39,45,84
"LA PLATA","CERRO-AMATE","NO CONSTA",0,1,1
"LA PLATA","CERRO-AMATE","TOTAL POBLACION",144,145,289
"LAS ALMENAS","NORTE","ESPAÑOLES",23,26,49
"LAS ALMENAS","NORTE","EXTRANJEROS",4,5,9
"LAS ALMENAS","NORTE","TOTAL POBLACION",27,31,58
"LAS AVENIDAS","MACARENA","ESPAÑOLES",30,38,68
"LAS AVENIDAS","MACARENA","EXTRANJEROS",11,11,22
"LAS AVENIDAS","MACARENA","TOTAL POBLACION",41,49,90
"LAS HUERTAS","S. PABLO-STA. JUSTA","ESPAÑOLES",32,21,53
"LAS HUERTAS","S. PABLO-STA. JUSTA","EXTRANJEROS",5,3,8
"LAS HUERTAS","S. PABLO-STA. JUSTA","TOTAL POBLACION",37,24,61
"LAS LETANIAS","SUR","ESPAÑOLES",45,51,96
"LAS LETANIAS","SUR","EXTRANJEROS",8,12,20
"LAS LETANIAS","SUR","TOTAL POBLACION",53,63,116
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","ESPAÑOLES",41,41,82
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","EXTRANJEROS",4,4,8
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","TOTAL POBLACION",45,45,90
"LEON XIII-LOS NARANJOS","MACARENA","ESPAÑOLES",50,53,103
"LEON XIII-LOS NARANJOS","MACARENA","EXTRANJEROS",7,8,15
"LEON XIII-LOS NARANJOS","MACARENA","TOTAL POBLACION",57,61,118
"LOS ARCOS","NORTE","ESPAÑOLES",31,41,72
"LOS ARCOS","NORTE","EXTRANJEROS",3,2,5
"LOS ARCOS","NORTE","TOTAL POBLACION",34,43,77
"LOS CARTEROS","NORTE","ESPAÑOLES",7,9,16
"LOS CARTEROS","NORTE","EXTRANJEROS",1,0,1
"LOS CARTEROS","NORTE","TOTAL POBLACION",8,9,17
"LOS PAJAROS","CERRO-AMATE","ESPAÑOLES",136,159,295
"LOS PAJAROS","CERRO-AMATE","EXTRANJEROS",56,49,105
"LOS PAJAROS","CERRO-AMATE","NO CONSTA",1,0,1
"LOS PAJAROS","CERRO-AMATE","TOTAL POBLACION",193,208,401
"LOS PRINCIPES-LA FONTANILLA","MACARENA","ESPAÑOLES",61,55,116
"LOS PRINCIPES-LA FONTANILLA","MACARENA","EXTRANJEROS",8,11,19
"LOS PRINCIPES-LA FONTANILLA","MACARENA","TOTAL POBLACION",69,66,135
"LOS REMEDIOS","LOS REMEDIOS","ESPAÑOLES",259,319,578
"LOS REMEDIOS","LOS REMEDIOS","EXTRANJEROS",14,33,47
"LOS REMEDIOS","LOS REMEDIOS","TOTAL POBLACION",273,352,625
"MACARENA TRES HUERTAS-MACARENA CINCO","MACARENA","ESPAÑOLES",13,9,22
"MACARENA TRES HUERTAS-MACARENA CINCO","MACARENA","EXTRANJEROS",2,1,3
"MACARENA TRES HUERTAS-MACARENA CINCO","MACARENA","TOTAL POBLACION",15,10,25
"MUSEO","CASCO ANTIGUO","ESPAÑOLES",57,80,137
"MUSEO","CASCO ANTIGUO","EXTRANJEROS",8,10,18
"MUSEO","CASCO ANTIGUO","NO CONSTA",1,0,1
"MUSEO","CASCO ANTIGUO","TOTAL POBLACION",66,90,156
"NERVION","NERVION","ESPAÑOLES",134,144,278
"NERVION","NERVION","EXTRANJEROS",19,22,41
"NERVION","NERVION","TOTAL POBLACION",153,166,319
"PALACIO DE CONGRESOS, URBADIEZ, ENTREPUENTES","ESTE","ESPAÑOLES",152,149,301
"PALACIO DE CONGRESOS, URBADIEZ, ENTREPUENTES","ESTE","EXTRANJEROS",38,39,77
"PALACIO DE CONGRESOS, URBADIEZ, ENTREPUENTES","ESTE","TOTAL POBLACION",190,188,378
"PALMETE","CERRO-AMATE","ESPAÑOLES",169,139,308
"PALMETE","CERRO-AMATE","EXTRANJEROS",45,54,99
"PALMETE","CERRO-AMATE","TOTAL POBLACION",214,193,407
"PARQUE ALCOSA-JARDINES DEL ED¿N","ESTE","ESPAÑOLES",198,214,412
"PARQUE ALCOSA-JARDINES DEL ED¿N","ESTE","EXTRANJEROS",29,36,65
"PARQUE ALCOSA-JARDINES DEL ED¿N","ESTE","TOTAL POBLACION",227,250,477
"PEDRO SALVADOR-LAS PALMERITAS-GUADAIRA","BELLAVISTA-LA PALMERA","ESPAÑOLES",43,30,73
"PEDRO SALVADOR-LAS PALMERITAS-GUADAIRA","BELLAVISTA-LA PALMERA","EXTRANJEROS",4,7,11
"PEDRO SALVADOR-LAS PALMERITAS-GUADAIRA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",47,37,84
"PINO FLORES","MACARENA","ESPAÑOLES",36,37,73
"PINO FLORES","MACARENA","EXTRANJEROS",4,2,6
"PINO FLORES","MACARENA","TOTAL POBLACION",40,39,79
"PIO XII","MACARENA","ESPAÑOLES",70,57,127
"PIO XII","MACARENA","EXTRANJEROS",10,14,24
"PIO XII","MACARENA","TOTAL POBLACION",80,71,151
"POLIGONO NORTE","MACARENA","ESPAÑOLES",53,53,106
"POLIGONO NORTE","MACARENA","EXTRANJEROS",11,15,26
"POLIGONO NORTE","MACARENA","TOTAL POBLACION",64,68,132
"POLIGONO SUR","SUR","ESPAÑOLES",184,165,349
"POLIGONO SUR","SUR","EXTRANJEROS",15,14,29
"POLIGONO SUR","SUR","TOTAL POBLACION",199,179,378
"RETIRO OBRERO","MACARENA","ESPAÑOLES",13,14,27
"RETIRO OBRERO","MACARENA","EXTRANJEROS",1,0,1
"RETIRO OBRERO","MACARENA","TOTAL POBLACION",14,14,28
"ROCHELAMBERT","CERRO-AMATE","ESPAÑOLES",57,58,115
"ROCHELAMBERT","CERRO-AMATE","EXTRANJEROS",11,26,37
"ROCHELAMBERT","CERRO-AMATE","TOTAL POBLACION",68,84,152
"SAN BARTOLOME","CASCO ANTIGUO","ESPAÑOLES",47,46,93
"SAN BARTOLOME","CASCO ANTIGUO","EXTRANJEROS",9,3,12
"SAN BARTOLOME","CASCO ANTIGUO","TOTAL POBLACION",56,49,105
"SAN BERNARDO","NERVION","ESPAÑOLES",52,46,98
"SAN BERNARDO","NERVION","EXTRANJEROS",2,2,4
"SAN BERNARDO","NERVION","TOTAL POBLACION",54,48,102
"SAN CARLOS-TARTESSOS","S. PABLO-STA. JUSTA","ESPAÑOLES",48,51,99
"SAN CARLOS-TARTESSOS","S. PABLO-STA. JUSTA","EXTRANJEROS",2,2,4
"SAN CARLOS-TARTESSOS","S. PABLO-STA. JUSTA","TOTAL POBLACION",50,53,103
"SAN DIEGO","NORTE","ESPAÑOLES",42,41,83
"SAN DIEGO","NORTE","EXTRANJEROS",5,4,9
"SAN DIEGO","NORTE","TOTAL POBLACION",47,45,92
"SAN GIL","CASCO ANTIGUO","ESPAÑOLES",84,91,175
"SAN GIL","CASCO ANTIGUO","EXTRANJEROS",18,15,33
"SAN GIL","CASCO ANTIGUO","NO CONSTA",0,1,1
"SAN GIL","CASCO ANTIGUO","TOTAL POBLACION",102,107,209
"SAN JERONIMO","NORTE","ESPAÑOLES",133,128,261
"SAN JERONIMO","NORTE","EXTRANJEROS",21,18,39
"SAN JERONIMO","NORTE","TOTAL POBLACION",154,146,300
"SAN JOSE OBRERO","S. PABLO-STA. JUSTA","ESPAÑOLES",89,118,207
"SAN JOSE OBRERO","S. PABLO-STA. JUSTA","EXTRANJEROS",7,6,13
"SAN JOSE OBRERO","S. PABLO-STA. JUSTA","TOTAL POBLACION",96,124,220
"SAN JULIAN","CASCO ANTIGUO","ESPAÑOLES",83,107,190
"SAN JULIAN","CASCO ANTIGUO","EXTRANJEROS",17,15,32
"SAN JULIAN","CASCO ANTIGUO","TOTAL POBLACION",100,122,222
"SAN LORENZO","CASCO ANTIGUO","ESPAÑOLES",58,66,124
"SAN LORENZO","CASCO ANTIGUO","EXTRANJEROS",7,3,10
"SAN LORENZO","CASCO ANTIGUO","TOTAL POBLACION",65,69,134
"SAN MATIAS","NORTE","ESPAÑOLES",11,5,16
"SAN MATIAS","NORTE","EXTRANJEROS",5,1,6
"SAN MATIAS","NORTE","TOTAL POBLACION",16,6,22
"SAN PABLO A Y B","S. PABLO-STA. JUSTA","ESPAÑOLES",88,85,173
"SAN PABLO A Y B","S. PABLO-STA. JUSTA","EXTRANJEROS",24,11,35
"SAN PABLO A Y B","S. PABLO-STA. JUSTA","TOTAL POBLACION",112,96,208
"SAN PABLO C","S. PABLO-STA. JUSTA","ESPAÑOLES",33,31,64
"SAN PABLO C","S. PABLO-STA. JUSTA","EXTRANJEROS",4,9,13
"SAN PABLO C","S. PABLO-STA. JUSTA","TOTAL POBLACION",37,40,77
"SAN PABLO D Y E","S. PABLO-STA. JUSTA","ESPAÑOLES",62,66,128
"SAN PABLO D Y E","S. PABLO-STA. JUSTA","EXTRANJEROS",9,9,18
"SAN PABLO D Y E","S. PABLO-STA. JUSTA","TOTAL POBLACION",71,75,146
"SAN ROQUE","NERVION","ESPAÑOLES",41,41,82
"SAN ROQUE","NERVION","EXTRANJEROS",3,5,8
"SAN ROQUE","NERVION","TOTAL POBLACION",44,46,90
"SAN VICENTE","CASCO ANTIGUO","ESPAÑOLES",74,73,147
"SAN VICENTE","CASCO ANTIGUO","EXTRANJEROS",6,6,12
"SAN VICENTE","CASCO ANTIGUO","TOTAL POBLACION",80,79,159
"SANTA AURELIA-CANTABRICO-ATLANTICO-LA ROMERIA","CERRO-AMATE","ESPAÑOLES",117,108,225
"SANTA AURELIA-CANTABRICO-ATLANTICO-LA ROMERIA","CERRO-AMATE","EXTRANJEROS",16,31,47
"SANTA AURELIA-CANTABRICO-ATLANTICO-LA ROMERIA","CERRO-AMATE","TOTAL POBLACION",133,139,272
"SANTA CATALINA","CASCO ANTIGUO","ESPAÑOLES",32,43,75
"SANTA CATALINA","CASCO ANTIGUO","EXTRANJEROS",9,12,21
"SANTA CATALINA","CASCO ANTIGUO","TOTAL POBLACION",41,55,96
"SANTA CLARA","S. PABLO-STA. JUSTA","ESPAÑOLES",66,63,129
"SANTA CLARA","S. PABLO-STA. JUSTA","EXTRANJEROS",2,3,5
"SANTA CLARA","S. PABLO-STA. JUSTA","TOTAL POBLACION",68,66,134
"SANTA CRUZ","CASCO ANTIGUO","ESPAÑOLES",30,42,72
"SANTA CRUZ","CASCO ANTIGUO","EXTRANJEROS",4,4,8
"SANTA CRUZ","CASCO ANTIGUO","TOTAL POBLACION",34,46,80
"SANTA JUSTA Y RUFINA-PARQUE MIRAFLORES","MACARENA","ESPAÑOLES",7,7,14
"SANTA JUSTA Y RUFINA-PARQUE MIRAFLORES","MACARENA","EXTRANJEROS",1,1,2
"SANTA JUSTA Y RUFINA-PARQUE MIRAFLORES","MACARENA","TOTAL POBLACION",8,8,16
"SANTA MARIA DE ORDAS-SAN NICOLAS","MACARENA","ESPAÑOLES",40,47,87
"SANTA MARIA DE ORDAS-SAN NICOLAS","MACARENA","EXTRANJEROS",1,2,3
"SANTA MARIA DE ORDAS-SAN NICOLAS","MACARENA","TOTAL POBLACION",41,49,90
"SECTOR SUR-LA PALMERA-REINA MERCEDES","BELLAVISTA-LA PALMERA","ESPAÑOLES",78,70,148
"SECTOR SUR-LA PALMERA-REINA MERCEDES","BELLAVISTA-LA PALMERA","EXTRANJEROS",9,13,22
"SECTOR SUR-LA PALMERA-REINA MERCEDES","BELLAVISTA-LA PALMERA","TOTAL POBLACION",87,83,170
"TABLADA","LOS REMEDIOS","ESPAÑOLES",40,27,67
"TABLADA","LOS REMEDIOS","TOTAL POBLACION",40,27,67
"TABLADILLA-LA ESTRELLA","SUR","ESPAÑOLES",56,64,120
"TABLADILLA-LA ESTRELLA","SUR","EXTRANJEROS",3,2,5
"TABLADILLA-LA ESTRELLA","SUR","TOTAL POBLACION",59,66,125
"TIRO DE LINEA-SANTA GENOVEVA","SUR","ESPAÑOLES",69,52,121
"TIRO DE LINEA-SANTA GENOVEVA","SUR","EXTRANJEROS",10,13,23
"TIRO DE LINEA-SANTA GENOVEVA","SUR","TOTAL POBLACION",79,65,144
"TORREBLANCA ","ESTE","ESPAÑOLES",197,202,399
"TORREBLANCA ","ESTE","EXTRANJEROS",33,25,58
"TORREBLANCA ","ESTE","TOTAL POBLACION",230,227,457
"TRIANA CASCO ANTIGUO","TRIANA","ESPAÑOLES",102,121,223
"TRIANA CASCO ANTIGUO","TRIANA","EXTRANJEROS",18,17,35
"TRIANA CASCO ANTIGUO","TRIANA","NO CONSTA",0,1,1
"TRIANA CASCO ANTIGUO","TRIANA","TOTAL POBLACION",120,139,259
"TRIANA ESTE","TRIANA","ESPAÑOLES",160,158,318
"TRIANA ESTE","TRIANA","EXTRANJEROS",25,31,56
"TRIANA ESTE","TRIANA","TOTAL POBLACION",185,189,374
"TRIANA OESTE","TRIANA","ESPAÑOLES",196,206,402
"TRIANA OESTE","TRIANA","EXTRANJEROS",17,24,41
"TRIANA OESTE","TRIANA","TOTAL POBLACION",213,230,443
"VALDEZORRAS","NORTE","ESPAÑOLES",12,16,28
"VALDEZORRAS","NORTE","EXTRANJEROS",2,1,3
"VALDEZORRAS","NORTE","TOTAL POBLACION",14,17,31
"VILLEGAS","MACARENA","ESPAÑOLES",46,52,98
"VILLEGAS","MACARENA","EXTRANJEROS",23,16,39
"VILLEGAS","MACARENA","NO CONSTA",0,1,1
"VILLEGAS","MACARENA","TOTAL POBLACION",69,69,138
"ZODIACO","S. PABLO-STA. JUSTA","ESPAÑOLES",15,12,27
"ZODIACO","S. PABLO-STA. JUSTA","EXTRANJEROS",1,1,2
"ZODIACO","S. PABLO-STA. JUSTA","TOTAL POBLACION",16,13,29
